House to Lot Ratio (Bottom),House to Lot Ratio (Top),Acres (Bottom),Acres (Top),VDL Sale Price (Bottom),VDL Sale Price (Top),Records Used,R^2 Test,MSE Test
0.15,0.2,0.05,0.2,0.15,0.15,13681,0.8601545705607437,3.557002878509115
0.2,0.2,0.05,0.2,0.01,0.15,13662,0.86008137040685,3.424741835174002
0.01,0.2,0.1,0.2,0.01,0.2,13694,0.8600590700332267,4.364074692160129
0.2,0.2,0.05,0.2,0.1,0.15,13629,0.8600493976187157,3.323889973715807
0.2,0.2,0.01,0.15,0.01,0.2,13592,0.8600435132810754,3.246688438305742
0.15,0.2,0.2,0.2,0.01,0.2,13530,0.8600047937638193,3.4480682765742765
0.15,0.2,0.01,0.2,0.01,0.1,13912,0.8599471066226749,3.598240088232072
0.01,0.2,0.15,0.15,0.15,0.01,14571,0.8598379520482344,4.314739067884795
0.01,0.2,0.15,0.15,0.2,0.01,14571,0.8598379520482344,4.314739067884795
0.15,0.2,0.2,0.2,0.01,0.15,13708,0.8594788178460646,4.0973275552351955
0.2,0.2,0.15,0.05,0.15,0.15,13874,0.8594140078867606,3.371671004114954
0.2,0.2,0.2,0.05,0.15,0.15,13874,0.8594140078867606,3.371671004114954
0.2,0.2,0.05,0.15,0.2,0.15,13687,0.8594048858062185,3.501660466581784
0.2,0.2,0.1,0.15,0.2,0.15,13676,0.8593256113252515,3.6051895092582527
0.05,0.2,0.15,0.15,0.15,0.2,13676,0.8593117267137981,4.459990987140551
0.2,0.2,0.05,0.15,0.15,0.2,13514,0.859278944353132,3.438802000637186
0.2,0.2,0.15,0.15,0.2,0.15,13664,0.8592316020159627,3.466474956834749
0.15,0.2,0.15,0.15,0.05,0.05,14249,0.8588183329268954,3.579449514926292
0.15,0.2,0.15,0.15,0.1,0.05,14249,0.8588183329268954,3.579449514926292
0.15,0.2,0.05,0.15,0.01,0.15,13837,0.8587403161956466,3.686295262362006
0.15,0.2,0.15,0.05,0.05,0.1,14191,0.8587394716862182,3.79310816934816
0.15,0.2,0.2,0.05,0.05,0.1,14191,0.8587394716862182,3.79310816934816
0.2,0.2,0.05,0.2,0.15,0.05,14095,0.8587339802517729,3.357797866199672
0.2,0.2,0.15,0.2,0.1,0.15,13611,0.8585634210337072,3.4375148998744023
0.2,0.2,0.15,0.2,0.15,0.1,13779,0.8585578660470128,3.521601819907587
0.2,0.2,0.15,0.2,0.2,0.1,13779,0.8585578660470128,3.521601819907587
0.01,0.2,0.01,0.01,0.15,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.2,0.01,0.15,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.05,0.01,0.15,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.15,0.01,0.1,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.01,0.01,0.2,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.01,0.01,0.1,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.1,0.01,0.1,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.1,0.01,0.15,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.05,0.01,0.1,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.15,0.01,0.2,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.1,0.01,0.2,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.2,0.01,0.1,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.15,0.01,0.15,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.05,0.01,0.2,0.05,14806,0.858547598314038,4.196214613775121
0.01,0.2,0.2,0.01,0.2,0.05,14806,0.858547598314038,4.196214613775121
0.15,0.2,0.1,0.2,0.05,0.15,13724,0.8584928611029499,3.8516228240729378
0.2,0.2,0.1,0.2,0.15,0.01,14264,0.8584806322349031,3.4653642489032617
0.2,0.2,0.1,0.2,0.1,0.01,14264,0.8584806322349031,3.4653642489032617
0.2,0.2,0.1,0.2,0.01,0.01,14264,0.8584806322349031,3.4653642489032617
0.2,0.2,0.1,0.2,0.05,0.01,14264,0.8584806322349031,3.4653642489032617
0.2,0.2,0.1,0.2,0.2,0.01,14264,0.8584806322349031,3.4653642489032617
0.15,0.2,0.15,0.2,0.2,0.1,13857,0.8584456620113019,3.5353662938606054
0.15,0.2,0.15,0.2,0.15,0.1,13857,0.8584456620113019,3.5353662938606054
0.2,0.2,0.2,0.2,0.05,0.2,13427,0.8584041748464644,3.40054314207521
0.2,0.2,0.05,0.1,0.01,0.15,13846,0.8583801312723518,3.524543427324667
0.2,0.2,0.2,0.2,0.15,0.2,13388,0.858023084766007,3.5288230802458784
0.15,0.2,0.15,0.05,0.05,0.15,13986,0.8579941509557436,3.889040738470485
0.15,0.2,0.2,0.05,0.05,0.15,13986,0.8579941509557436,3.889040738470485
0.2,0.2,0.01,0.2,0.01,0.01,14284,0.85798286260079,3.1883565841769608
0.2,0.2,0.01,0.2,0.05,0.01,14284,0.85798286260079,3.1883565841769608
0.2,0.2,0.01,0.2,0.1,0.01,14284,0.85798286260079,3.1883565841769608
0.2,0.2,0.01,0.2,0.15,0.01,14284,0.85798286260079,3.1883565841769608
0.2,0.2,0.01,0.2,0.2,0.01,14284,0.85798286260079,3.1883565841769608
0.01,0.2,0.2,0.15,0.15,0.2,13695,0.8579366044092702,4.574760823601078
0.15,0.2,0.01,0.15,0.2,0.2,13560,0.8578810749521111,3.812192784918924
0.15,0.2,0.15,0.15,0.05,0.15,13802,0.8575940827298981,3.663210330821142
0.15,0.2,0.15,0.2,0.05,0.15,13718,0.857516452376494,3.719733341287331
0.15,0.2,0.15,0.1,0.01,0.1,14109,0.8574409986922514,3.788417421629506
0.1,0.2,0.05,0.2,0.05,0.15,13809,0.8574013200815287,4.402056459565319
0.2,0.2,0.1,0.1,0.05,0.15,13830,0.8573461316567096,3.537707925347575
0.15,0.2,0.1,0.2,0.05,0.05,14163,0.85723825711476,3.981824846166796
0.15,0.2,0.1,0.05,0.2,0.01,14645,0.857220918322286,3.839574327891065
0.15,0.2,0.1,0.05,0.15,0.01,14645,0.857220918322286,3.839574327891065
0.01,0.2,0.1,0.2,0.2,0.2,13564,0.8569608741298325,4.400333865014657
0.01,0.2,0.1,0.2,0.01,0.1,14038,0.8569127243649697,4.117220588813946
0.01,0.2,0.05,0.2,0.01,0.1,14051,0.8568839122204349,4.213789554603173
0.2,0.2,0.2,0.01,0.05,0.05,14586,0.8568214137858603,3.608204887613544
0.2,0.2,0.01,0.01,0.01,0.05,14586,0.8568214137858603,3.608204887613544
0.2,0.2,0.15,0.01,0.05,0.05,14586,0.8568214137858603,3.608204887613544
0.2,0.2,0.1,0.01,0.05,0.05,14586,0.8568214137858603,3.608204887613544
0.2,0.2,0.05,0.01,0.05,0.05,14586,0.8568214137858603,3.608204887613544
