Parcel Number,Ownership Duration,Calculated Acres,County,City,State,Zip Code,Zoning Code,Zoning Type,Land Use,Deeded Acres,Owner Corporate Indicator,Land Square Footage,Census Tract,Mobile Home Indicator,Property Indicator,Out of State Owner,Total Value Calculated,Total Value Per Acre,Assessed Total Value,Market Total Value,Appraised Total Value,Land Value Calculated,Total Land Value Per Acre,Assessed Land Value,Market Land Value,Appraised Land Value,Improvement Value Calculated,Assessed Improvement Value,Market Improvement Value,Appraised Improvement Value,Assessed Improvement Value Ratio,Tax Amount,Tax Year,Assessed Year,Tax Code Area,Document Type,Sale Price,Sale Price Per Acre,1st Mortgage Amount,Mortgage Assumption Amount,2nd Mortgage Amount,Front Footage,Depth Footage,Universal Building Square Feet,Building Square Feet,Living Square Feet,Ground Floor Square Feet,Gross Square Feet,Adjusted Gross Square Feet,Basement Square Feet,Garage/Parking Square Feet,Year Built
13922202,15.0,25.99684395,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,AGRICULTURAL (NEC),26.5, ,1154340,416041047, ,AGRICULTURAL,No,399000,15348.01689112,399000,399000,0,399000,15348.01689112,399000,399000,0,0,0,0,0,,50.68,2023,2023,16,WARRANTY DEED,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01305104,15.0,26.39948528,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,FOREST,25.0, ,1089000,62222012, ,AGRICULTURAL,No,927500,35133.2607441,927500,927500,0,927500,35133.2607441,927500,927500,0,0,0,0,0,,66.53,2023,2023,4,DEED (REG),125000,4734.94080109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02321126,2.0,26.76558979,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,RESIDENTIAL (NEC),26.85,Yes,1169586,62222070, ,SINGLE FAMILY RESIDENCE,No,1806410,67490.01289086,1806410,1806410,0,1286760,48075.15956369,1286760,1286760,0,519650,519650,519650,0,,3563.79,2023,2023,12,WARRANTY DEED,4600000,171862.45608579,3285000,0,3285000,0,0,0,0,0,0,0,0,0,0,2017
13704147,15.0,19.7963552,Mecklenburg,CHARLOTTE,NC,28227,R,Residential,SFR,20.11,Yes,875992,57181004, ,SINGLE FAMILY RESIDENCE,No,1050400,53060.27244081,1050400,1050400,0,1013500,51196.29295388,1013500,1013500,0,36900,36900,36900,0,,0.0,0,2023,17,SPECIAL WARRANTY DEED,1350000,68194.37147285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00751126,15.0,10.24216959,Mecklenburg,CORNELIUS,NC,28031,NR,Residential,SFR,10.24,Yes,446054,64091012, ,SINGLE FAMILY RESIDENCE,No,5152200,503037.95066787,5152200,5152200,0,1060300,103522.98806202,1060300,1060300,0,4091900,4091900,4091900,0,,44.5,2023,2023,2,DEED (REG),0,0.0,0,0,0,0,0,23864,24896,23864,12232,0,0,4184,400,1958
00714101,15.0,80.94009387,Mecklenburg,CORNELIUS,NC,28031,RP,Residential,AGRICULTURAL (NEC),85.5,Yes,3724380,64091073, ,AGRICULTURAL,No,6202359,76629.00676072,6202359,6202359,0,6202359,76629.00676072,6202359,6202359,0,0,0,0,0,,323.63,2023,2023,27,DEED (REG),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13920108,15.0,45.24818989,Mecklenburg,MIDLAND,NC,28107,R,Residential,AGRICULTURAL (NEC),46.405,Yes,2021402,57151044, ,AGRICULTURAL,No,1223600,27041.96572425,1223600,1223600,0,1223600,27041.96572425,1223600,1223600,0,0,0,0,0,,168.44,2023,2023,16,SPECIAL WARRANTY DEED,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01109205,4.0,83.13148815,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,83.13, ,3621143,63101000, ,SINGLE FAMILY RESIDENCE,No,3926225,47229.09558411,3926225,3926225,0,3916425,47111.21004858,3916425,3916425,0,9800,9800,9800,0,,5662.42,2023,2023,12,SPECIAL WARRANTY DEED,3250000,39094.69290435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00727111,15.0,38.34130998,Mecklenburg,DAVIDSON,NC,28036,RPA,Residential,AGRICULTURAL (NEC),29.52, ,1285891,64042015, ,AGRICULTURAL,No,2613299,68158.83446425,2613299,2613299,0,2613299,68158.83446425,2613299,2613299,0,0,0,0,0,,103.11,2023,2023,23,DEED (REG),0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01921228,0.0,33.50539199,Mecklenburg,HUNTERSVILLE,NC,28078,TR,Residential,SFR,33.5,Yes,1459260,63071000, ,SINGLE FAMILY RESIDENCE,No,2012800,60073.91288865,2012800,2012800,0,2012800,60073.91288865,2012800,2012800,0,0,0,0,0,,0.0,0,2023,4,SPECIAL WARRANTY DEED,3510000,104759.25786922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02122108,15.0,17.04378913,Mecklenburg,HUNTERSVILLE,NC,28078,TR,Residential,FOREST,17.339,Yes,755287,63101007, ,AGRICULTURAL,No,434534,25495.15232851,434534,434534,0,434534,25495.15232851,434534,434534,0,0,0,0,0,,46.59,2023,2023,12,SPECIAL WARRANTY DEED,2236500,131220.82088563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01129102,0.0,21.78620197,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,AGRICULTURAL (NEC),21.531,Yes,937890,64043022, ,AGRICULTURAL,No,1347785,61864.15611858,1347785,1347785,0,1347785,61864.15611858,1347785,1347785,0,0,0,0,0,,81.68,2023,2023,12,WARRANTY DEED,718000,32956.63929569,475890,0,0,0,0,0,0,0,0,0,0,0,0,0
02303105,15.0,21.46181457,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,22.53, ,981407,62222065, ,SINGLE FAMILY RESIDENCE,No,1370400,63852.94195693,1370400,1370400,0,1081400,50387.16537669,1081400,1081400,0,289000,289000,289000,0,,9026.1,2023,2023,12,GRANT DEED,346500,16144.95358149,0,0,0,0,0,2082,2145,2082,2082,0,0,0,0,1979
13919101,15.0,106.93329939,Mecklenburg,MIDLAND,NC,28107,R,Residential,RURAL HOMESITE,106.9,Yes,4656564,57151041, ,SINGLE FAMILY RESIDENCE,No,2808800,26266.84125667,2808800,2808800,0,2559200,23932.67592711,2559200,2559200,0,249600,249600,249600,0,,2380.31,2023,2023,16,SPECIAL WARRANTY DEED,0,0.0,0,0,0,0,0,2240,2939,2240,1730,0,0,0,828,1930
01112210,15.0,12.64920384,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,SFR,12.65, ,551034,63101078, ,SINGLE FAMILY RESIDENCE,No,1920400,151819.8319015,1920400,1920400,0,544400,43038.28186168,544400,544400,0,1376000,1376000,1376000,0,,12630.8,2023,2023,12,WARRANTY DEED,100000,7905.63590406,0,0,0,0,0,9012,12941,9012,3452,0,0,2904,2308,2009
01701101,15.0,57.28119493,Mecklenburg,HUNTERSVILLE,NC,28078,R,Residential,RESIDENTIAL (NEC),57.33, ,2497295,62241096, ,SINGLE FAMILY RESIDENCE,No,1895707,33094.75303802,1895707,1895707,0,1894407,33072.05798074,1894407,1894407,0,1300,1300,1300,0,,2341.15,2023,2023,4,WARRANTY DEED,520000,9078.02291165,0,0,0,0,0,957,1357,957,957,0,0,0,0,1921
