House to Lot Ratio (Bottom),House to Lot Ratio (Top),Acres (Bottom),Acres (Top),VDL Sale Price (Bottom),VDL Sale Price (Top),Records Used,R^2 Test,MSE Test
0.01,0.15,0.01,0.05,0.05,0.2,14374,0.8113855195768025,9.868686681887866
0.01,0.15,0.01,0.1,0.05,0.01,15144,0.8221802277573222,9.737918999229441
0.01,0.15,0.01,0.1,0.05,0.05,14961,0.7928069991683669,11.100774617969018
0.01,0.15,0.01,0.1,0.05,0.1,14675,0.8300120496803295,8.523045913965104
0.01,0.15,0.01,0.1,0.05,0.15,14504,0.8150765228034282,9.909168528077725
0.01,0.15,0.01,0.1,0.05,0.2,14295,0.8261905553063698,9.351658236837247
0.01,0.15,0.01,0.15,0.05,0.01,15050,0.8302270929817295,9.254988512526342
0.01,0.15,0.01,0.15,0.05,0.05,14867,0.8248195302979842,9.354480075604013
0.01,0.15,0.01,0.15,0.05,0.1,14586,0.8319113731346874,9.103958669212146
0.01,0.15,0.01,0.15,0.05,0.15,14424,0.8144772978009045,10.84717204623107
0.01,0.15,0.01,0.15,0.05,0.2,14218,0.8401026936035876,8.731121663067654
0.01,0.15,0.01,0.2,0.05,0.01,14945,0.813216323862255,10.831270415143564
0.01,0.15,0.01,0.2,0.05,0.05,14763,0.8293987557295156,8.810363095507237
0.01,0.15,0.01,0.2,0.05,0.1,14487,0.8422171927482265,8.889950154377035
0.01,0.15,0.01,0.2,0.05,0.15,14329,0.8287065006487386,9.351692740390693
0.01,0.15,0.01,0.2,0.05,0.2,14126,0.8240139357120383,9.93949273064418
0.01,0.2,0.01,0.01,0.05,0.01,15026,0.8132839618010972,5.468270839109421
0.01,0.2,0.01,0.01,0.05,0.05,14815,0.8478004124581493,4.529422647061254
0.01,0.2,0.01,0.01,0.05,0.1,14536,0.8113603667854715,5.19388108243098
0.01,0.2,0.01,0.01,0.05,0.15,14293,0.8203141939962023,5.786745478009764
0.01,0.2,0.01,0.01,0.05,0.2,14110,0.8110016887736131,5.7092600440857355
0.01,0.2,0.01,0.05,0.05,0.01,14796,0.8347351153034229,5.153987063432
0.01,0.2,0.01,0.05,0.05,0.05,14621,0.8383541171818105,4.590639021157356
0.01,0.2,0.01,0.05,0.05,0.1,14316,0.8360417017692834,5.363580148452638
0.01,0.2,0.01,0.05,0.05,0.15,14136,0.8199416897908576,5.772464595303335
0.01,0.2,0.01,0.05,0.05,0.2,13945,0.8154372039908881,5.79321567879521
0.01,0.2,0.01,0.1,0.05,0.01,14700,0.8290729415709684,4.969744085208842
0.01,0.2,0.01,0.1,0.05,0.05,14531,0.850322117067719,4.4545986853671735
0.01,0.2,0.01,0.1,0.05,0.1,14235,0.8346004443611184,5.270039891128986
0.01,0.2,0.01,0.1,0.05,0.15,14058,0.8395494707125601,4.9142831061625065
0.01,0.2,0.01,0.1,0.05,0.2,13849,0.8294179356616926,5.328239029320877
0.01,0.2,0.01,0.15,0.05,0.01,14614,0.8382376206780131,4.766431221876721
0.01,0.2,0.01,0.15,0.05,0.05,14435,0.834947523996033,5.097992779686417
0.01,0.2,0.01,0.15,0.05,0.1,14153,0.8474716781765894,4.257231169591015
0.01,0.2,0.01,0.15,0.05,0.15,13987,0.8326045733589285,4.9245380519560715
0.01,0.2,0.01,0.15,0.05,0.2,13780,0.8363922042040879,5.284173713448393
0.01,0.2,0.01,0.2,0.05,0.01,14508,0.8308072753728919,5.430041087039606
0.01,0.2,0.01,0.2,0.05,0.05,14328,0.8562153260298354,4.431347386303901
0.01,0.2,0.01,0.2,0.05,0.1,14053,0.8548853195990521,4.201310633829082
0.01,0.2,0.01,0.2,0.05,0.15,13890,0.8337656992463032,5.222233874238896
0.01,0.2,0.01,0.2,0.05,0.2,13686,0.8374656552667457,5.323325603813013
0.01,0.01,0.01,0.01,0.1,0.01,16273,0.7550049510085438,89.09029046350993
0.01,0.01,0.01,0.01,0.1,0.05,16055,0.7324197542125039,78.83395605200165
0.01,0.01,0.01,0.01,0.1,0.1,15714,0.8035425384730385,62.353217892104354
0.01,0.01,0.01,0.01,0.1,0.15,15514,0.6301998460342093,144.56134184400668
0.01,0.01,0.01,0.01,0.1,0.2,15313,0.7406734681705447,57.991309573011534
0.01,0.01,0.01,0.05,0.1,0.01,16008,0.699172122382363,82.25415014239725
0.01,0.01,0.01,0.05,0.1,0.05,15815,0.7011156008259678,92.11417549202429
0.01,0.01,0.01,0.05,0.1,0.1,15494,0.7483695253151097,72.47135772611531
0.01,0.01,0.01,0.05,0.1,0.15,15315,0.7072638346339577,85.44741083531788
0.01,0.01,0.01,0.05,0.1,0.2,15120,0.6385378325258336,104.09221447820266
0.01,0.01,0.01,0.1,0.1,0.01,15905,0.6799927804132953,101.19638305369027
0.01,0.01,0.01,0.1,0.1,0.05,15715,0.6603992181774294,119.84046203590587
0.01,0.01,0.01,0.1,0.1,0.1,15410,0.8165519659939199,50.77348687627626
0.01,0.01,0.01,0.1,0.1,0.15,15233,0.7254852214736529,97.50072862115195
0.01,0.01,0.01,0.1,0.1,0.2,15032,0.685802060393783,90.00067752645144
0.01,0.01,0.01,0.15,0.1,0.01,15811,0.7458835374266521,82.96035121430592
0.01,0.01,0.01,0.15,0.1,0.05,15622,0.7070597395609631,104.1314050190688
0.01,0.01,0.01,0.15,0.1,0.1,15317,0.6757554691748231,111.875268113049
0.01,0.01,0.01,0.15,0.1,0.15,15129,0.6593783043792737,104.21152345848463
0.01,0.01,0.01,0.15,0.1,0.2,14955,0.7490799722050174,90.1318546581575
0.01,0.01,0.01,0.2,0.1,0.01,15702,0.7322810402920872,87.01767323498512
0.01,0.01,0.01,0.2,0.1,0.05,15514,0.7524213121401556,79.81581086085818
0.01,0.01,0.01,0.2,0.1,0.1,15213,0.702443801641078,108.59619645824833
0.01,0.01,0.01,0.2,0.1,0.15,15029,0.6858848546136749,92.30583679352276
0.01,0.01,0.01,0.2,0.1,0.2,14847,0.778923195874793,61.51613420550744
0.01,0.05,0.01,0.01,0.1,0.01,16189,0.8644927795202465,27.10304477640607
0.01,0.05,0.01,0.01,0.1,0.05,15971,0.8425067269817593,29.359962270858016
0.01,0.05,0.01,0.01,0.1,0.1,15630,0.8692334258399415,25.398767406537846
0.01,0.05,0.01,0.01,0.1,0.15,15453,0.8477273759694148,30.82227142600847
0.01,0.05,0.01,0.01,0.1,0.2,15230,0.8644953824948018,26.652785067843684
0.01,0.05,0.01,0.05,0.1,0.01,15928,0.8443510300060684,28.767832391334323
0.01,0.05,0.01,0.05,0.1,0.05,15735,0.8671547384118553,28.84296722512892
0.01,0.05,0.01,0.05,0.1,0.1,15414,0.8287213427432016,33.55714936748056
0.01,0.05,0.01,0.05,0.1,0.15,15242,0.8361768450895823,26.954164651725424
0.01,0.05,0.01,0.05,0.1,0.2,15045,0.8654686516119804,23.199295610615785
0.01,0.05,0.01,0.1,0.1,0.01,15825,0.8199607807185764,35.48296972493378
0.01,0.05,0.01,0.1,0.1,0.05,15638,0.8539273417353116,27.336743809651026
0.01,0.05,0.01,0.1,0.1,0.1,15330,0.8535723096166891,25.877889170045936
0.01,0.05,0.01,0.1,0.1,0.15,15151,0.8426409121220841,30.090797795506937
0.01,0.05,0.01,0.1,0.1,0.2,14960,0.8209742096046075,34.71281810886288
0.01,0.05,0.01,0.15,0.1,0.01,15734,0.8445241951371738,30.178047946971013
0.01,0.05,0.01,0.15,0.1,0.05,15545,0.8547692864757801,28.1801817205424
0.01,0.05,0.01,0.15,0.1,0.1,15242,0.849856945615694,27.094363065192784
0.01,0.05,0.01,0.15,0.1,0.15,15074,0.8551266785427772,26.15347885630703
0.01,0.05,0.01,0.15,0.1,0.2,14879,0.8104576923176212,36.61402953487637
0.01,0.05,0.01,0.2,0.1,0.01,15622,0.8704256842215053,24.510918630619653
0.01,0.05,0.01,0.2,0.1,0.05,15434,0.8445708367506772,33.67727709514081
0.01,0.05,0.01,0.2,0.1,0.1,15133,0.8454172602766021,27.853521201735663
0.01,0.05,0.01,0.2,0.1,0.15,14950,0.8566667658604298,25.829101114076348
0.01,0.05,0.01,0.2,0.1,0.2,14781,0.8545811779728303,28.79786772110853
0.01,0.1,0.01,0.01,0.1,0.01,15779,0.8026548154293086,17.555465509121852
0.01,0.1,0.01,0.01,0.1,0.05,15565,0.8307717735925725,15.975891767072316
0.01,0.1,0.01,0.01,0.1,0.1,15226,0.8408758061193451,14.474249795356306
0.01,0.1,0.01,0.01,0.1,0.15,15021,0.8170298624964124,16.21144435746496
0.01,0.1,0.01,0.01,0.1,0.2,14821,0.831770893028054,16.093731238002086
